order_id,product_id,add_to_cart_order,reordered
9,34203,6,1
9,31506,8,1
9,44533,10,1
10,34134,9,1
10,49235,12,1
12,34335,6,1
12,38888,9,0
12,38050,10,1
12,43511,15,0
13,41290,8,0
13,33198,9,0
13,36086,11,0
14,41890,6,1
14,39475,7,1
14,45066,11,0
18,44632,6,1
18,46969,7,0
18,38985,9,1
18,48745,11,0
18,45495,16,1
18,32018,17,1
18,35547,24,1
18,33279,25,0
18,46979,26,1
18,47766,27,1
20,42633,7,0
22,46941,7,1
22,39993,8,0
22,40593,12,0
22,46979,13,1
22,31268,14,1
23,44953,8,0
23,44299,12,0
23,32205,14,0
25,39046,8,0
25,48171,9,0
25,33506,10,1
25,30320,11,1
25,37449,13,0
25,48299,14,1
26,40545,7,0
26,47766,8,1
27,47766,7,1
27,42701,9,1
27,41588,13,0
27,49383,17,1
27,40604,18,1
27,41950,24,1
28,47626,6,1
28,37220,7,1
28,45504,10,1
28,47209,12,1
28,38544,14,1
28,37288,15,1
28,31915,16,1
31,49156,7,1
31,47900,9,1
32,35887,6,0
32,49683,7,1
33,49390,7,0
33,32981,8,0
33,40063,9,1
43,34005,7,0
46,41602,9,1
46,47827,13,1
46,32917,14,0
46,34233,18,0
48,36929,8,0
51,32624,6,0
53,40706,7,1
53,38827,10,1
53,39275,11,0
53,38647,12,0
53,47626,13,0
53,34448,14,0
53,46194,15,0
54,36086,6,0
54,32971,7,0
55,30391,9,0
55,32734,11,0
55,32177,14,0
55,40709,15,1
55,45123,16,0
55,41950,18,1
55,38315,21,0
56,47209,7,1
56,34050,10,0
57,47209,6,0
57,48857,7,0
58,42265,6,0
60,37646,6,1
60,38777,9,1
60,48628,11,1
60,44910,18,1
61,38928,10,1
63,34640,6,0
66,37102,6,0
67,46226,7,0
69,42345,6,1
69,36342,8,1
71,31553,6,1
71,31717,7,1
71,39389,9,0
71,44632,10,1
72,42548,6,1
